主线,ETF代码,ETF名称,成交额,规模代理,当日涨幅,五日涨幅,匹配分,评价说明
医疗研发外包,159506,港股通创新药医疗ETF富国,482035577.5,3299934776.0,0.16,-0.4,2,按主题名称匹配、成交额和规模代理排序；费率与跟踪误差待补
医疗研发外包,513120,港股创新药ETF广发,4916924862.0,27489632214.0,0.25,-1.0,1,按主题名称匹配、成交额和规模代理排序；费率与跟踪误差待补
动力煤,515220,煤炭ETF国泰,718812288.0,16118947439.0,1.06,6.73,1,按主题名称匹配、成交额和规模代理排序；费率与跟踪误差待补
证券Ⅲ,510200,上证券商ETF汇安,2219931.0,190772768.0,0.83,0.58,2,按主题名称匹配、成交额和规模代理排序；费率与跟踪误差待补
证券Ⅲ,513090,香港证券ETF易方达,3743808319.0,19346444735.0,1.56,1.78,1,按主题名称匹配、成交额和规模代理排序；费率与跟踪误差待补
国有大型银行Ⅲ,512800,银行ETF华宝,602085763.0,12331895840.0,0.5,2.69,1,按主题名称匹配、成交额和规模代理排序；费率与跟踪误差待补
国有大型银行Ⅲ,516310,银行ETF易方达,177055516.0,3254587800.0,0.23,2.54,1,按主题名称匹配、成交额和规模代理排序；费率与跟踪误差待补
白酒Ⅲ,512690,酒ETF鹏华,443588657.0,14351123866.0,-1.16,1.19,1,按主题名称匹配、成交额和规模代理排序；费率与跟踪误差待补
白酒Ⅲ,159732,消费电子ETF华夏,303324570.0,3757052170.0,-1.83,-7.97,1,按主题名称匹配、成交额和规模代理排序；费率与跟踪误差待补
